,CD_UNIDADE,DESC_UNIDADE,CD_EQUIPAMENTO,CD_OPERADOR,DT_HORA_INI,DT_HORA_FIM,CD_OPERACAO,DESC_OPERACAO,CD_GRP_OPERACAO,DESC_GRP_OPERACAO,VL_HR_OPERACIONAL,CD_FAZENDA,CD_GRP_EQUIPAMENTO,DESC_GRP_EQUIPAMENTO,VL_VELOCIDADE_MEDIA,CD_TP_EQUIPAMENTO,INFA_EXT_DT,VL_ESPACAMENTO_IMPLEMENTO,DESC_APLICACAO,HORA_INI,HORA_FIM,Personalizar
553,3,ITUIUTABA,36314,31112,2021-10-29T09:20:45.0000000,2021-10-29T09:24:14.0000000,894,AGUARDANDO COLHEDORA TERMINAR CARREGAMENTO,6051,PERDIDA,0.0581,4113,1,301 - FRT COLHEITA MECANIZADA ITT,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
554,6,TROPICAL,36153,151016,2021-10-29T08:54:03.0000000,2021-10-29T09:24:04.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.5003,4178,601,601 - FRT COLHEITA MECANIZADA TRP,0.0,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
555,6,TROPICAL,63499,99999,2021-10-29T09:21:02.0000000,2021-10-29T09:23:56.0000000,632,DESLOC CARREG TRANSB CARREADOR,53,PRODUTIVA,0.0483,4019,605,605 - FRT COLHEITA MECANIZADA TRP,8.08,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
556,3,ITUIUTABA,36326,32253,2021-10-29T09:23:24.0000000,2021-10-29T09:23:55.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0086,4113,1,301 - FRT COLHEITA MECANIZADA ITT,2.84,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
557,3,ITUIUTABA,36270,550855,2021-10-29T09:23:50.0000000,2021-10-29T09:23:53.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0008,4051,2,302 - FRT COLHEITA MECANIZADA ITT,6.87,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
558,3,ITUIUTABA,36226,551055,2021-10-29T09:23:18.0000000,2021-10-29T09:23:51.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0092,4051,2,302 - FRT COLHEITA MECANIZADA ITT,5.76,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
559,3,ITUIUTABA,38821,99999,2021-10-29T09:23:41.0000000,2021-10-29T09:23:50.0000000,895,DESLOCAMENTO PATIO,8051,AUXILIAR OPERACAO,0.0025,0,7,TRANSPORTE DE CANA ITT,0.0,3,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
560,6,TROPICAL,6938,26774,2021-10-29T09:03:34.0000000,2021-10-29T09:23:50.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.3378,4019,605,605 - FRT COLHEITA MECANIZADA TRP,0.04,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
561,3,ITUIUTABA,36270,550855,2021-10-29T09:23:34.0000000,2021-10-29T09:23:50.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0044,4051,2,302 - FRT COLHEITA MECANIZADA ITT,6.81,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
562,3,ITUIUTABA,36279,550059,2021-10-29T09:23:39.0000000,2021-10-29T09:23:43.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0011,4051,2,302 - FRT COLHEITA MECANIZADA ITT,6.93,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
563,3,ITUIUTABA,38821,99999,2021-10-29T09:18:19.0000000,2021-10-29T09:23:41.0000000,803,CHUVA/VENTO/UMIDADE/TEMPERATURA,50,INAPTIDAO,0.0894,0,7,TRANSPORTE DE CANA ITT,0.0,3,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
564,3,ITUIUTABA,36279,550059,2021-10-29T09:23:24.0000000,2021-10-29T09:23:39.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0042,4051,2,302 - FRT COLHEITA MECANIZADA ITT,6.77,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
565,3,ITUIUTABA,36300,32055,2021-10-29T09:23:18.0000000,2021-10-29T09:23:37.0000000,729,COLHEITA CANA MECANIZADA,53,PRODUTIVA,0.0053,4051,2,302 - FRT COLHEITA MECANIZADA ITT,6.36,1,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
566,3,ITUIUTABA,36270,550855,2021-10-29T09:23:14.0000000,2021-10-29T09:23:34.0000000,630,CARREG CANA COLHIDA  NO TRANSBORDO,53,PRODUTIVA,0.0056,4051,2,302 - FRT COLHEITA MECANIZADA ITT,6.89,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
567,3,ITUIUTABA,36311,551292,2021-10-29T09:23:26.0000000,2021-10-29T09:23:32.0000000,632,DESLOC CARREG TRANSB CARREADOR,53,PRODUTIVA,0.0017,4231,1,301 - FRT COLHEITA MECANIZADA ITT,6.79,2,20211029,0,COLHEITA,Microsoft.OleDb.Time,Microsoft.OleDb.Time,True
